author,year,Type,Device,retro/prospective,total_flap_n_buried,total_flap_n_non-buried,total_flap_n_buried_device,total_flap_n_non-buried_non-device,flap_loss_buried,flap_loss_non-buried,flap_loss_buried_device,flap_loss_non-buried_non-device,Reop_buried,Reop_non-buried,FP_Reop_buried,salvage_success_buried,salvage_success_non-buried,recon_area_breast,recon_area_hn,recon_area_other,pre-RT_buried,pre-RT_non-buried,DM_buried,DM_non-buried,smoke_buried,smoke_non-buried,comment (flap type),DIEP/TRAM/Rectus_Abdominis_bd,DIEP/TRAM/Rectus_Abdominis_nd,DIEP/TRAM/Rectus_Abdominis_bn,DIEP/TRAM/Rectus_Abdominis_nn,ALT_bd,ALT_nd,ALT_bn,ALT_nn,jejunum_bd,jejunum_nd,jejunum_bn,jejunum_nn,RFFF_bd,RFFF_nd,RFFF_bn,RFFF_nn,Fibula_bd,Fibula_nd,Fibula_bn,Fibula_nn,Gracilis_bd,Gracilis_nd,Gracilis_bn,Gracilis_nn,VLNT_bd,VLNT_nd,VLNT_bn,VLNT_nn,Other_bd,Other_nd,Other_bn,Other_nn
Arnež,2018,Type D,Licox,prospective,6,81,4,41,NR,NR,NR,0,NR,NR,Not reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"ALT, DIEP, Fibula, LD, mSAP, RFFF, TFL, UFFF",0,8,0,14,1,18,2,11,0,0,0,0,0,5,0,9,3,2,0,4,0,0,0,0,0,0,0,0,0,7,0,3
Cai,2008,Type A,NIRS,prospective,41,0,41,0,0,1,0,0,0,1,0,NR,0,0,41,0,NR,NR,NR,NR,NR,NR,Fibula 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cannady,2010,Type B,,retrospective,18,0,0,0,0,0,0,0,0,0,Not reported,NR,NR,0,18,0,NR,NR,NR,NR,NR,NR,"ALT 13, Radial forearm 4, Lateral arm 1",0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chadwick,2020,Type A,IDP,retrospective,26,0,24,0,0,0,0,0,1,0,1,NR,NR,26,0,0,NR,NR,NR,NR,NR,NR,DIEP 26,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clemens,2009,Type B,,retrospective,6,0,0,0,0,0,0,0,0,0,0,NR,NR,0,6,0,3,NR,NR,NR,NR,NR,DIEP 6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creasy,2024,Type C-ii,IDP,retrospective,153,169,153,169,3,3,3,3,14 (Haematoma 7 / Flap loss 3 / Negative takeback 3 / RTT vein 1),14 (Haematoma 7 / Flap loss 3 / Negative takeback 1 / RTT vein 2 / Partial flap loss 1),3,Not reported,Not reported,153,0,0,Not reported,Not reported,5,9,4,14,Buried: DIEP(120) PAP(27) SGAP(5) SIEA(1) / Non-buried: DIEP(143) PAP(18) SGAP(5) SIEA(2) ALT(1),120,143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
Disa,1999,Type B,,retrospective,77,673,0,673,5,12,0,12,5,57,0,0,44,2,75,0,NR,NR,NR,NR,NR,NR,"Buried: Jejunum 50, Fibula 16, Forearm 8, Rectus abdominis 2, Temporalis fascia 1 (Non-buried flap types NR)",0,NR,2,NR,0,NR,0,NR,0,NR,50,NR,0,NR,8,NR,0,NR,16,NR,0,NR,0,NR,0,NR,0,NR,0,NR,1,NR
Dunklebarger,2022,Type A,IDP,retrospective,65,NA,65,NA,0,NA,0,NA,1,NA,0,1,NA,0,65,0,Not reported,NA,Not reported,NA,Not reported,NA,Head and neck free flaps (specific types not reported),0,0,0,0,29,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Few,2001,Type A,Color Doppler,prospective,11,NA,11,NA,0,NA,0,NA,0,NA,0,NA,NA,0,11,0,Not reported,NA,Not reported,NA,Not reported,NA,fibula(7) jejunum(2) radial forearm(2),0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frey,2018,Type D,IDP,retrospective,50,171,43,166,1,4,1,NR,3,8,Not reported,NR,NR,50,0,0,NR,NR,1,1,1,15,"DIEP 140, PAP 35, MS-TRAM 23, SGAP 6, Stacked DIEP 6, TUG 4, SIEP 2, Lateral thigh perforator 2, MFCAP 1, (2 non-buried flaps NR)",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
